EX,EM,69r0,69r2,69r8,69r32,69r128,69r512
640,"597,062",0,0,0,0,0,0
640,"601,775",0,0,0,0,0,0
640,"606,489",0,0,0,0,0,0
640,"611,205",0,0,0,0,0,0
640,"615,923",0,0,0,0,0,0
640,"620,644",0,0,0,0,0,0
640,"625,366",0,0,0,0,0,0
640,"630,089",0,0,0,0,0,0
640,"634,815",0,0,0,0,0,0
640,"639,543",0,0,0,0,0,0
640,"644,272",0,0,0,0,0,0
640,"649,003",0,0,0,0,0,0
640,"653,736","4,869,734","972,356","-2,686,849","-49,148","1,581,856","-2,319,345"
640,"658,47","4,673,276","-3,096,993","729,583","257,812","-1,245,287","-3,341,941"
640,"663,206","-3,026,063","-1,145,321","-2,650,543","-1,271,651","-1,020,142","-3,777,987"
640,"667,944","4,195,866","2,931,622","4,323,789","2,552,092","4,703,414","1,666,975"
640,"672,683","1,919,424","12,982","-1,405,479","-892,887","897,481","513,447"
640,"677,424","8,297,716","-107,851","1,962,898","1,317,155","2,221,699","2,222,356"
640,"682,166","2,645,952","3,430,681","4,478,233","526,267","6,180,382","6,439,818"
640,"686,91","120,092","935,968","-123,608","803,844","-785,806","5,038,672"
640,"691,656","1,199,578","799,542","397,155","-3,220,188","1,737,503","128,363"
640,"696,403","6,257,196","-662,089","-118,615","3,681,066","-118,535","-201,512"
640,"701,151","1,508,921","823,266","272,997","-1,788,712","123,558","1,371,698"
640,"705,901","-421,444","-1,120,905","1,536,113","-980,425","8,369","125,509"
640,"710,652","-6,123,573","690,678","-6,694,985","-5,131,044","-1,866,317","-243,462"
640,"715,404","4,770,076","594,105","1,746,956","1,027,654","-1,998,595","4,626,363"
640,"720,158","3,943,997","305,981","4,528,175","-2,602,047","-2,022,895","6,707,814"
640,"724,913","2,667,717","1,339,441","1,339,441","-4,122,706","1,043,989","-2,055,375"
640,"729,669","-1,037,924","600,971","-4,618,795","2,091,273","45,184","302,961"
640,"734,427","3,027,571","-458,531","-2,886,017","451,129","1,362,023","1,966,821"
